index,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,channel9,channel10,channel11,channel12,channel13,channel14,channel15
1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
2,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1
3,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1
4,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1
5,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0
6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
7,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1
8,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1
9,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
10,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0
11,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1
12,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0
13,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
14,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0
15,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1
16,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1
17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1
19,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
20,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1
21,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
22,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1
23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
24,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1
25,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1
26,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0
27,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
28,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0
29,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
30,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
31,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1
32,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0
33,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
34,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0
35,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1
36,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1
37,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1
38,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
39,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1
40,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1
41,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1
42,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1
43,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0
44,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0
45,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,1
46,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
47,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1
48,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1
49,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1
50,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1
51,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1
52,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1
53,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
54,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
55,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
56,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1
57,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1
58,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1
59,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1
60,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1
61,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1
62,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
63,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1
64,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1
65,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1
66,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1
67,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1
68,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
69,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
70,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1
71,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1
72,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1
73,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1
74,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
